Naam;Afkorting;Adviescollege Scope;Actief vanaf;Kaderwet van toepassing;Classificaties;Register van overheidsorganisaties URL;Adviescollege URL;TOOI-URI
Raad voor Cultuur;RVC;Permanent;22-11-1995;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/71981/Raad_voor_Cultuur;https://www.raadvoorcultuur.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10260
Adviescommissie beoordeling aangeboden cultuurbezit uit nalatenschappen;;Permanent;11-3-1998;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391661/Adviescommissie_beoordeling_aangeboden_cultuurbezit_uit_nalatenschappen;https://www.cultureelerfgoed.nl/onderwerpen/collecties-uitbreiden-of-afstoten/kwijtscheldingsregeling;https://identifier.overheid.nl/tooi/id/oorg/oorg10199
Adviescollege Rechtspositie Politieke Ambtsdragers;ARPA;Permanent;1-1-2022;Ja;;https://organisaties.overheid.nl/29817012/Adviescollege_Rechtspositie_Politieke_Ambtsdragers;https://adviescollege-rpa.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12361
Adviesraad Migratie;AM;Permanent;1-4-2001;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/115625/Adviesraad_Migratie;https://www.adviesraadmigratie.nl;https://identifier.overheid.nl/tooi/id/oorg/oorg10252
Commissie auteursrecht;;Permanent;1-1-1997;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28220141/Commissie_auteursrecht;https://www.rijksoverheid.nl/ministeries/ministerie-van-justitie-en-veiligheid/organisatie/organogram/commissies-ministerie-van-jenv/commissie-auteursrecht;https://identifier.overheid.nl/tooi/id/oorg/oorg10254
Adviescollege toetsing regeldruk;ATR;Tijdelijk;1-6-2017;Ja;;https://organisaties.overheid.nl/29819769/Adviescollege_toetsing_regeldruk;https://www.adviescollegeregeldruk.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12362
Commissie Feiten en Tarieven;;Permanent;6-2-2013;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28355871/Commissie_Feiten_en_Tarieven;https://www.om.nl/onderwerpen/feiten-en-tarieven;https://identifier.overheid.nl/tooi/id/oorg/oorg10128
Gecombineerde Commissie Vennootschapsrecht;GCV;Permanent;1-1-1997;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28212210/Gecombineerde_Commissie_Vennootschapsrecht;https://www.knb.nl/over-knb/samenwerking/gcv;https://identifier.overheid.nl/tooi/id/oorg/oorg10257
Adviescommissie Internationaal Innoveren;;Permanent;19-12-2014;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28360850/Adviescommissie_Internationaal_Innoveren;https://www.rvo.nl/onderwerpen/financiering-ondernemers-fase/internationaal-innoveren;https://identifier.overheid.nl/tooi/id/oorg/oorg10151
Adviescollege levenslanggestraften;;Permanent;1-3-2017;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28351140/Adviescollege_levenslanggestraften;https://www.adviescollegelevenslanggestraften.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10106
